fips,year,g,rel_year,ytilde,y0hat,tau_hat
6061,1981,Inf,-Inf,-0.02354300780832652,0.0,-0.02354300780832652
6061,1982,Inf,-Inf,-0.024681711667896344,0.0,-0.024681711667896344
6061,1983,Inf,-Inf,0.013125984980887573,0.0,0.013125984980887573
6061,1984,Inf,-Inf,0.049082485201943804,0.0,0.049082485201943804
6061,1985,Inf,-Inf,0.08735457754542342,0.0,0.08735457754542342
6061,1986,Inf,-Inf,0.15811805666681877,0.0,0.15811805666681877
6061,1987,Inf,-Inf,0.6546426592725725,0.0,0.6546426592725725
6061,1988,Inf,-Inf,0.3477587890740317,0.0,0.3477587890740317
6061,1989,Inf,-Inf,0.5161552088535695,0.0,0.5161552088535695
6061,1990,Inf,-Inf,0.6490159584438198,0.0,0.6490159584438198
6061,1991,Inf,-Inf,0.8571135122276576,0.0,0.8571135122276576
6061,1992,Inf,-Inf,0.865564687286489,0.0,0.865564687286489
6063,1977,Inf,-Inf,-0.27211820452017754,0.0,-0.27211820452017754
6063,1978,Inf,-Inf,-0.26691263674134547,0.0,-0.26691263674134547
6063,1979,Inf,-Inf,-0.47288640769751566,0.0,-0.47288640769751566
6063,1980,Inf,-Inf,-0.40458684903309283,0.0,-0.40458684903309283
6063,1981,Inf,-Inf,-0.5269414630692193,0.0,-0.5269414630692193
6063,1982,Inf,-Inf,0.3917166854634715,0.0,0.3917166854634715
6063,1983,Inf,-Inf,0.7499630914675155,0.0,0.7499630914675155
6063,1984,Inf,-Inf,0.3773122078989708,0.0,0.3773122078989708
6063,1985,Inf,-Inf,0.42445357623139124,0.0,0.42445357623139124
6063,1986,Inf,-Inf,0.21800049246979647,0.0,0.21800049246979647
6063,1987,Inf,-Inf,0.3077244707908502,0.0,0.3077244707908502
6063,1988,Inf,-Inf,0.3529734660254693,0.0,0.3529734660254693
6063,1989,Inf,-Inf,0.06636928568094724,0.0,0.06636928568094724
6063,1990,Inf,-Inf,0.16724267788538683,0.0,0.16724267788538683
6063,1991,Inf,-Inf,0.024034925076854563,0.0,0.024034925076854563
6063,1992,Inf,-Inf,0.5602426342020461,0.0,0.5602426342020461
6065,1977,1992.0,-15.0,0.004570396586116132,0.0,0.004570396586116132
6065,1978,1992.0,-14.0,-0.04675132047982178,0.0,-0.04675132047982178
6065,1979,1992.0,-13.0,-0.18927762978645202,0.0,-0.18927762978645202
6065,1980,1992.0,-12.0,-0.05984796780412882,0.0,-0.05984796780412882
6065,1981,1992.0,-11.0,-0.028253030742714458,0.0,-0.028253030742714458
6065,1982,1992.0,-10.0,-0.005638044910865503,0.0,-0.005638044910865503
6065,1983,1992.0,-9.0,0.04101585532286833,0.0,0.04101585532286833
6065,1984,1992.0,-8.0,0.09634947995715493,0.0,0.09634947995715493
6065,1985,1992.0,-7.0,0.18783226185785384,0.0,0.18783226185785384
6065,1986,1992.0,-6.0,0.10615108310926047,0.0,0.10615108310926047
6065,1987,1992.0,-5.0,0.24914828295760394,0.0,0.24914828295760394
6065,1988,1992.0,-4.0,0.2910241406291032,0.0,0.2910241406291032
6065,1989,1992.0,-3.0,0.2793939892263104,0.0,0.2793939892263104
6065,1990,1992.0,-2.0,0.4096304751804718,0.0,0.4096304751804718
6065,1991,1992.0,-1.0,0.35615524250501807,0.0,0.35615524250501807
6065,1992,1992.0,0.0,0.43942475150476046,0.0,0.43942475150476046
6067,1977,1991.0,-14.0,-0.1063157995402193,0.0,-0.1063157995402193
6067,1978,1991.0,-13.0,-0.06439273310928773,0.0,-0.06439273310928773
6067,1979,1991.0,-12.0,-0.07924067370291699,0.0,-0.07924067370291699
6067,1980,1991.0,-11.0,-0.02769689409748377,0.0,-0.02769689409748377
6067,1981,1991.0,-10.0,-0.025400430543530916,0.0,-0.025400430543530916
6067,1982,1991.0,-9.0,-0.024518358246231386,0.0,-0.024518358246231386
6067,1983,1991.0,-8.0,0.021028268590153942,0.0,0.021028268590153942
6067,1984,1991.0,-7.0,0.12917541603041016,0.0,0.12917541603041016
6067,1985,1991.0,-6.0,0.17736120461909888,0.0,0.17736120461909888
6067,1986,1991.0,-5.0,0.224752524100305,0.0,0.224752524100305
6067,1987,1991.0,-4.0,0.2625054419709283,0.0,0.2625054419709283
6067,1988,1991.0,-3.0,0.22146629329808754,0.0,0.22146629329808754
6067,1989,1991.0,-2.0,0.21075498850904495,0.0,0.21075498850904495
6067,1990,1991.0,-1.0,0.24830684984966656,0.0,0.24830684984966656
6067,1991,1991.0,0.0,0.21465365611516418,0.0,0.21465365611516418
6067,1992,1991.0,1.0,0.2207471383242643,0.0,0.2207471383242643
6069,1977,Inf,-Inf,-0.004768088205211463,0.0,-0.004768088205211463
6069,1978,Inf,-Inf,-0.257769623377599,0.0,-0.257769623377599
6069,1979,Inf,-Inf,-0.35447245269617866,0.0,-0.35447245269617866
6069,1980,Inf,-Inf,-0.28987513758729655,0.0,-0.28987513758729655
6069,1981,Inf,-Inf,-0.40434917970753226,0.0,-0.40434917970753226
6069,1982,Inf,-Inf,-0.07503112598297257,0.0,-0.07503112598297257
6069,1983,Inf,-Inf,0.34302829860574136,0.0,0.34302829860574136
6069,1984,Inf,-Inf,0.42882050979806774,0.0,0.42882050979806774
6069,1985,Inf,-Inf,0.6144167991529876,0.0,0.6144167991529876
6069,1986,Inf,-Inf,0.313161713465373,0.0,0.313161713465373
6069,1987,Inf,-Inf,0.40488658590532633,0.0,0.40488658590532633
6069,1988,Inf,-Inf,0.4042099991321555,0.0,0.4042099991321555
6069,1989,Inf,-Inf,0.5967022920063734,0.0,0.5967022920063734
6069,1990,Inf,-Inf,0.6975226120850442,0.0,0.6975226120850442
6069,1991,Inf,-Inf,0.8479506422276915,0.0,0.8479506422276915
6069,1992,Inf,-Inf,0.5525576820020133,0.0,0.5525576820020133
6071,1977,1991.0,-14.0,-0.07631141429381394,0.0,-0.07631141429381394
6071,1978,1991.0,-13.0,-0.1359752063982933,0.0,-0.1359752063982933
6071,1979,1991.0,-12.0,-0.10808813501333159,0.0,-0.10808813501333159
6071,1980,1991.0,-11.0,-0.0164026201667804,0.0,-0.0164026201667804
6071,1981,1991.0,-10.0,0.017028423526154413,0.0,0.017028423526154413
6071,1982,1991.0,-9.0,-0.019046456246286425,0.0,-0.019046456246286425
6071,1983,1991.0,-8.0,0.014132929904338454,0.0,0.014132929904338454
6071,1984,1991.0,-7.0,0.1700131125165747,0.0,0.1700131125165747
6071,1985,1991.0,-6.0,0.15464936617145408,0.0,0.15464936617145408
6071,1986,1991.0,-5.0,0.2418441907122304,0.0,0.2418441907122304
6071,1987,1991.0,-4.0,0.38950148755942315,0.0,0.38950148755942315
6071,1988,1991.0,-3.0,0.5020044076049626,0.0,0.5020044076049626
6071,1989,1991.0,-2.0,0.5885589109846805,0.0,0.5885589109846805
6071,1990,1991.0,-1.0,0.6623388710548008,0.0,0.6623388710548008
6071,1991,1991.0,0.0,0.6316764146961784,0.0,0.6316764146961784
6071,1992,1991.0,1.0,0.7084842420522497,0.0,0.7084842420522497
6073,1977,1992.0,-15.0,-0.2281484243051075,0.0,-0.2281484243051075
6073,1978,1992.0,-14.0,-0.1860498065069054,0.0,-0.1860498065069054
6073,1979,1992.0,-13.0,-0.07814272870520522,0.0,-0.07814272870520522
6073,1980,1992.0,-12.0,-0.013367858402502542,0.0,-0.013367858402502542
6073,1981,1992.0,-11.0,0.004679992452091497,0.0,0.004679992452091497
6073,1982,1992.0,-10.0,0.031167674780860466,0.0,0.031167674780860466
6073,1983,1992.0,-9.0,0.09929289362441374,0.0,0.09929289362441374
6073,1984,1992.0,-8.0,0.14263913555856078,0.0,0.14263913555856078
6073,1985,1992.0,-7.0,0.2279291215038013,0.0,0.2279291215038013
