fips,year,y,y0hat,tau_hat
35017,1977,4.6763978173942,4.8737295924858,-0.1973317750916
35017,1978,4.65440023415343,4.47448823357471,0.17991200057872
35017,1979,5.14595708091069,5.02974224819345,0.116214832717241
35017,1980,5.19492812713625,5.19971687681286,-0.00478874967660925
35017,1981,5.06047751972569,5.19228626514388,-0.131808745418191
35017,1982,5.95056563235578,5.96339514234051,-0.0128295099847247
35017,1983,5.89333976331,5.54982205247211,0.34351771083789
35017,1984,5.40998365348574,5.46233992025739,-0.0523562667716462
35017,1985,5.00228709412373,5.24281659146075,-0.240529497337015
35017,1986,5.51919555404901,4.97823089369172,0.540964660357294
35017,1987,5.98416579801386,4.98588062426387,0.998285173749988
35017,1988,5.05285682871356,3.48254156857459,1.57031526013897
35017,1989,5.02680702809783,3.74732508942473,1.2794819386731
35017,1990,5.03680459162224,3.40712574954342,1.62967884207882
35017,1991,5.11737658863467,3.71709326328252,1.40028332535215
35017,1992,4.803036966058,3.89820252953267,0.904834436525327
35017,1993,4.7114122993245,3.81725733581518,0.894154963509317
35017,1994,5.1102357046483,4.02012382153316,1.09011188311514
35017,1995,5.27005279201381,4.2826687257844,0.987384066229413
35017,1996,5.5203090192364,4.24767764680906,1.27263137242734
35017,1997,5.272895206941,3.9010889257346,1.3718062812064
35017,1998,5.3612921893554,2.9084972864169,2.4527949029385
35017,1999,5.38907175322289,2.71074941384179,2.6783223393811
35028,1977,2.60569812962995,,
35028,1978,2.9957323018662,,
35028,1979,3.13311631927929,,
35028,1980,3.8083917370242,,
35028,1981,3.14733637175362,,
35028,1982,3.69594255737261,,
35028,1983,3.85263298271802,,
35028,1984,3.89665637410612,,
35028,1985,4.04956060531295,,
35028,1986,4.91706080458141,,
35028,1987,5.29399522355996,,
35028,1988,5.30822845085495,,
35028,1989,4.55969371694182,,
35028,1990,4.80493332438565,,
35028,1991,4.58089739871052,,
35028,1992,4.526021861139,,
35028,1993,4.61888482620745,,
35028,1994,4.08932240543993,,
35028,1995,4.21492565428497,,
35028,1996,4.40132412919507,,
