b,dgp_num,N,T0,twfe,parallel_trends,ar_error_term,instrument_noise,estimator,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p,true_te
15,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.8237511685887212,0.14545804295671833,0.5386534043935534,1.108848932783889,2,1
15,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.8237511685887212,0.14545804295671833,0.5386534043935534,1.108848932783889,2,1
16,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,1.2827831668591874,0.1638367421547446,0.961663152235888,1.603903181482487,NA,1
16,1,300,4,TRUE,TRUE,FALSE,1,TWFE,0,1.073072167082585,0.1246001649414388,0.8288558437973649,1.317288490367805,NA,1
16,1,300,4,TRUE,TRUE,FALSE,1,TWFE with $\bm{w}_i' \bm{\beta}_t$,0,1.082260529177887,0.12675113157137036,0.8338283112980012,1.330692747057773,NA,1
16,1,300,4,TRUE,TRUE,FALSE,1,Augmented Synthetic Control,0,1.186884654269021,0.17222845632615374,0.8181156853393212,1.5244524286682823,NA,1
16,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ known),0,0.9159822368484758,0.27139411471419517,0.3840595463925215,1.44790492730443,2,1
16,1,300,4,TRUE,TRUE,FALSE,1,Generalized Synth ($p$ estimated),0,1.150810306155266,0.1364840472152891,0.8833064891490351,1.4183141231614966,0,1
16,1,300,4,TRUE,TRUE,FALSE,1,Factor Imputation ($\bm{F}$ known),0,1.1039263590862298,0.10067596218784423,0.9066014731980552,1.3012512449744045,NA,1
16,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ known),0,0.9486542188525132,0.1805219479057706,0.5948312009572028,1.3024772367478237,2,1
16,1,300,4,TRUE,TRUE,FALSE,1,QLD ($p$ estimated),0,0.9486542188525132,0.1805219479057706,0.5948312009572028,1.3024772367478237,2,1
17,1,300,4,TRUE,TRUE,FALSE,1,Difference-in-means,0,0.9654652847862272,0.16187546713399523,0.6481893692035966,1.282741200368858,NA,1
