b,dgp_num,T_0,estimator,true_te,rel_year,estimate,std.error,ci_lower,ci_upper,selected_p
60,1,4,QLD ($p$ known),1,0,-2.9521742509157827,3.200181782558154,-9.224530544729763,3.3201820428981987,2
60,1,4,QLD ($p$ estimated),1,0,-3.3175645770683446,1.7887848832350923,-6.8235829482091255,0.18845379407243668,1
61,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.94775046773679,0.19393387906351647,4.567640064772298,5.327860870701282,NA
61,1,4,QLD ($p$ known),1,0,0.9614575574008232,2.7841717561943815,-4.495519084740164,6.418434199541811,2
61,1,4,QLD ($p$ estimated),1,0,1.973240906913716,0.9007818500853428,0.2077084807464442,3.738773333080988,1
62,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.6855487567871394,0.17749152890578654,4.337665360131798,5.033432153442481,NA
62,1,4,QLD ($p$ known),1,0,0.15170097038883248,2.100310373881951,-3.9649073624197912,4.268309303197456,2
62,1,4,QLD ($p$ estimated),1,0,0.15170097038883248,2.100310373881951,-3.9649073624197912,4.268309303197456,2
63,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.964362655156729,0.17482114853299469,4.621713204032059,5.307012106281399,NA
63,1,4,QLD ($p$ known),1,0,0.6545175840247086,6.1185638971934635,-11.33786765447448,12.646902822523897,2
63,1,4,QLD ($p$ estimated),1,0,0.6545175840247086,6.1185638971934635,-11.33786765447448,12.646902822523897,2
64,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.669547614851463,0.1754058863107279,4.325752077682436,5.013343152020489,NA
64,1,4,QLD ($p$ known),1,0,-3.032544574093758,5.268396686564067,-13.35860207975933,7.293512931571812,2
64,1,4,QLD ($p$ estimated),1,0,-3.032544574093758,5.268396686564067,-13.35860207975933,7.293512931571812,2
65,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,5.019385954068906,0.17617658011624396,4.674079857041068,5.364692051096744,NA
65,1,4,QLD ($p$ known),1,0,0.9241864666511324,1.374598082780771,-1.7700257755991784,3.6183987089014433,2
65,1,4,QLD ($p$ estimated),1,0,0.9241864666511324,1.374598082780771,-1.7700257755991784,3.6183987089014433,2
66,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.981333712417007,0.18099914042837115,4.6265753971774,5.336092027656615,NA
66,1,4,QLD ($p$ known),1,0,-2.211661331802837,4.493003809622428,-11.017948798662797,6.594626135057121,2
66,1,4,QLD ($p$ estimated),1,0,-2.3302161384346167,2.0752149611348987,-6.397637462259018,1.7372051853897847,1
67,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.766206285527371,0.18076237295013992,4.411912034545097,5.120500536509645,NA
67,1,4,QLD ($p$ known),1,0,-5.477665894979938,8.584325851772988,-22.302944564454997,11.34761277449512,2
67,1,4,QLD ($p$ estimated),1,0,-5.477665894979938,8.584325851772988,-22.302944564454997,11.34761277449512,2
68,1,4,TWFE with $\bm{w}_i' \bm{\beta}_t$,1,0,4.949367563061468,0.1763127666803421,4.603794540367998,5.294940585754938,NA
68,1,4,QLD ($p$ known),1,0,1.828784311671574,2.407711135279776,-2.8903295134767872,6.547898136819935,2
68,1,4,QLD ($p$ estimated),1,0,1.828784311671574,2.407711135279776,-2.8903295134767872,6.547898136819935,2
